sku,product_name,quantity,revenue
jp012,4-Inch Pot - Ideal for Succulents,129,719.450000000
jp29-11,"7-9"" Japanese Bonsai Pots (Various Colors)",98,1073.100000000
jp19-13,Udei (brown) Unglazed Bonsai Pot,65,375.650000000
jp2116,"6-8"" Oval Blue Japanese Pots",55,316.250000000
jp19-21,"6-8"" Namako Glazed Japanese Bonsai Pot (No. 1921)",46,634.200000000
jp20-38,Brown Unglazed Bonsai Pot,45,1239.750000000
jp1529-gr,"13-15"" Green Glazed Japanese Bonsai Pot (No. 1529)",43,2382.850000000
jp19-24,Udei (brown) Unglazed Rectangular Bonsai Pot,38,898.100000000
jp514,"6"" Round Japanese Bonsai Pot (No. 514)",30,560.900000000
jp1924-27,"7-8"" Rectangular Japanese Pots",28,294.200000000
jp19-22,"6-8"" Cream Glazed Japanese Bonsai Pot (No. 1922)",27,598.650000000
jp19-17,Udei Uglazed Bonsai Pot,27,226.600000000
jp29-13,Light Green Ceramic Japanese Bonsai Pot (Choose Size),26,799.750000000
jp1529-cr,"13-15"" Cream Glazed Japanese Bonsai Pot (No. 1529)",23,1238.850000000
jp29-12,Cream Glazed Ceramic Japanese Bonsai Pot (No. 2912),23,725.850000000
jp19-27,Oribe Glazed Rectangle Bonsai Pot,22,563.900000000
jp9,"8"" Round Japanese Bonsai Pot",22,429.900000000
jp29-1,"6-9"" Japanese Bonsai Pots (Various Colors)",21,158.250000000
jp-asst-5-box,"5"" Glazed Japanese Bonsai Pots (36 Pots)",20,4030.000000000
jp1529-bl,"13-15"" Blue Glazed Japanese Bonsai Pot (No. 1529)",20,954.000000000
jp20-42,"6-12"" Glazed Japanese Yellow Bonsai Pot",19,645.050000000
jp0819-23,5-Inch Bonsai Pot - Boat Style is ideal for Bonsai or Succulents,19,125.210000000
jp19-14,Namako (blue) Glazed Bonsai Pot,19,275.050000000
jp29-15,"Dark Blue Glazed Japanese Bonsai Pot (5-12"")",18,614.100000000
jp08-31,"8"" Round Japanese Bonsai Pots (Various Colors)",18,157.500000000
jp1552,"9-12"" Oval Japanese Pots",17,200.500000000
jp1926sm,7-Inch Bonsai Planter (No. 1926),16,0E-9
jp19-23,"6-8"" Green Glazed Bonsai Pot (No. 1923)",15,344.250000000
jp1552-cr,"9-12"" Cream Glazed Japanese Bonsai Pot (No. 1552)",14,399.300000000
jp1552-gr,"9-12"" Green Glazed Japanese Bonsai Pot (No. 1552)",14,404.300000000
jp29-17,"10-12"" Japanese Bonsai Pots (Various Colors)",13,246.250000000
jp29-14,Udei Unglazed Tokoname Pot,13,575.350000000
jp191-10,"7-11"" Rectangular Japanese Pots",13,151.750000000
jp2817,"9"" Unglazed Japanese Bonsai Planter (No. 2817)",13,464.350000000
jp29-2,"6-9"" Cream Glazed Japanese Bonsai Pot (No. 292)",9,191.550000000
jp1524-27,"17-18"" Rectangular Japanese Pots",9,399.599999998
jp29-41,"7-13"" Cream Glazed Japanese Bonsai Pot",9,409.550000000
jp04,"4-5"" Round Japanese Bonsai or Succulent Planters",9,53.250000000
jp28-9,"5"" Glazed Round Japanese Bonsai Pot (Choose Color)",9,194.550000000
jp1512-7,"8"" Unglazed Japanese Bonsai Planter (No. 1512)",8,214.600000000
jp0831-a,Udei (brown) Unglazed Bonsai Pot (No. 0831),8,153.600000000
jp1529,"13-15"" Rectangular Japanese Pots",8,174.000000000
jp1509,"Udei (brown) Unglazed Japanese Bonsai Pot (6-8"")",7,119.650000000
jp1552-bl,"9-12"" Blue Glazed Japanese Bonsai Pot (No. 1552)",7,194.650000000
jp19-19,"5-6"" Cream Glazed Japanese Bonsai Pot",7,97.650000000
jp1539,"Cream (oval) Glazed Bonsai Pot (6-8"")",7,209.650000000
jp1924sm,7-Inch Bonsai Planter (No. 1924),7,0E-9
jp1923me,7-Inch Bonsai Planter (No. 1923),7,0E-9
jp19-15,Cream Glazed Japanese Bonsai Pot (No. 19-15),5,61.750000000
jp29-20,Cream Glazed Rectangle Japanese Bonsai Pot (Choose Size),5,149.750000000
jp2940-43,"7-13"" Cream Glazed Pot",4,52.000000000
jp1546,"Light Blue (oval) Glazed Bonsai Pot (7-11"")",4,134.800000000
jp19-25,Namako (Dark Blue) Glazed Rectangle Japanese Bonsai Pot,4,84.800000000
jp198-10,"Cream (rectangle) Glazed Bonsai Pot (7-11"")",3,89.850000000
jp2920,"7-9"" Rectangular Cream Japanese Pots",3,27.750000000
jp1509me,7-Inch Bonsai Planter (No. 1509),3,0E-9
jp18-7,Blue Glazed Tokoname Pot (jp18-7),3,35.850000000
jp21-16,"6-8"" Blue Glazed Oval Japanese Bonsai Pot",2,54.900000000
jp1521-bl,7-Inch Blue Glazed Japanese Bonsai Planter (No. 1521),2,49.900000000
jp19-26,"7-8"" Cream Glazed Rectangle Bonsai Pot",1,19.950000000
jp04-27,Blue (round) Glazed Bonsai Pot (No. 04-27),1,14.900000000
jp292-la,jp292-la,1,29.950000000
jp30-13,"Blue (rectangle) Glazed Bonsai Pot (7-11"")",1,24.950000000
jp33-5,"6"" Unglazed Japanese Bonsai Planter (No. 33-5)",1,49.950000000
jp21-23,"Green (oval) Glazed Bonsai Pot (7-11"")",1,24.950000000
